date,start,stop,distance,calories,steps
2019-11-30,19:04,19:13,103,3,159
2019-12-01,06:40,06:54,325,12,464
2019-12-01,07:03,07:41,1173,39,1721
2019-12-01,07:43,07:57,169,5,259
2019-12-01,08:00,08:33,850,27,1285
2019-12-01,08:34,08:40,619,23,772
2019-12-01,08:41,08:58,585,23,796
2019-12-01,11:08,11:18,558,20,754
2019-12-01,11:35,12:02,698,23,1032
2019-12-01,13:50,13:56,332,12,441
2019-12-01,14:07,14:11,257,9,360
2019-12-01,15:03,15:08,438,16,590
2019-12-01,15:15,15:24,105,4,162
2019-12-01,15:33,15:38,124,3,191
2019-12-01,15:56,16:07,169,5,259
2019-12-01,16:12,16:16,100,3,153
2019-12-01,16:17,16:31,60,3,93
2019-12-01,16:54,16:59,118,3,181
2019-12-01,17:32,17:56,1818,62,2412
2019-12-02,14:41,14:47,343,11,483
2019-12-02,14:48,15:00,1004,34,1329
2019-12-02,15:01,15:05,67,3,103
2019-12-02,15:57,16:20,689,23,1006
2019-12-02,16:21,16:27,222,6,341
2019-12-02,16:28,16:43,1074,36,1470
2019-12-03,09:38,09:46,297,10,426
2019-12-03,10:25,10:36,361,13,529
2019-12-03,10:49,10:57,143,5,219
2019-12-03,11:13,11:18,104,3,160
2019-12-03,11:19,11:23,272,8,394
2019-12-03,12:33,12:41,155,5,238
2019-12-03,12:58,13:05,170,6,260
2019-12-03,13:46,13:53,304,9,439
2019-12-03,14:00,14:12,99,4,152
2019-12-03,14:26,14:30,54,2,83
2019-12-03,14:45,15:01,329,9,504
2019-12-03,15:07,15:17,219,7,335
2019-12-03,15:19,15:44,519,16,750
2019-12-03,16:01,16:20,537,18,753
2019-12-03,19:40,19:44,379,12,511
2019-12-03,20:07,20:20,398,13,605
2019-12-03,21:01,21:17,110,3,169
2019-12-04,06:38,06:52,152,5,233
2019-12-04,06:53,07:12,1587,54,2089
2019-12-05,08:53,09:01,183,4,280
2019-12-05,09:02,09:06,388,13,517
2019-12-05,11:14,11:19,417,14,587
2019-12-05,11:20,11:35,548,18,824
2019-12-05,13:10,13:34,509,20,699
2019-12-05,14:02,14:19,483,17,703
2019-12-05,15:40,15:53,669,21,982
2019-12-05,16:36,16:51,366,12,549
2019-12-05,16:58,17:34,801,28,1137
2019-12-05,17:35,17:41,466,15,662
2019-12-05,19:28,19:37,537,18,765
2019-12-05,19:38,19:42,312,11,409
2019-12-06,11:05,11:20,680,21,972
2019-12-06,12:01,12:05,209,6,318
2019-12-06,12:06,12:10,411,15,520
2019-12-06,13:46,13:50,379,13,503
2019-12-06,14:04,14:08,415,14,534
2019-12-06,15:20,15:40,693,23,1027
2019-12-06,15:41,15:52,962,33,1255
2019-12-06,16:14,16:19,84,2,129
2019-12-06,16:28,16:48,375,11,574
2019-12-06,16:50,17:13,292,9,447
2019-12-06,17:28,17:32,146,5,215
2019-12-06,17:33,17:41,611,20,861
2019-12-06,18:33,18:39,483,19,632
2019-12-06,18:40,18:53,326,10,500
2019-12-06,19:04,19:13,302,10,463
2019-12-06,19:26,19:34,153,5,235
2019-12-08,06:40,06:56,205,6,311
2019-12-08,06:57,07:01,449,17,556
2019-12-08,07:57,08:03,173,4,265
2019-12-08,08:30,08:38,658,22,885
2019-12-08,11:21,11:32,361,11,543
2019-12-08,11:34,11:56,242,8,364
2019-12-08,11:57,12:02,74,2,114
2019-12-08,12:04,12:21,115,6,176
2019-12-08,12:51,12:55,68,2,105
2019-12-08,13:00,13:11,253,8,371
2019-12-08,13:35,13:43,161,5,235
2019-12-08,15:08,15:23,449,15,637
